TimeStep,StateType,Variable,Values
33,Priors,mu_c_priors,0.140644 -0.621564 -0.572136 -0.218396 0.598847 -0.655867 -0.103455 0.931127 -0.936359 -0.268845 -0.792634 0.678215 0.265241 0.849738 0.132048 0.428989 -0.576634 0.310623 -0.739439 0.232573 0.38907 -0.337995 0.30376 -0.407549 -0.22841 0.213736 -0.814417 0.403343 -0.0653955 0.173611 0.38154 -0.0848871 0.309473 0.408321 -0.295392 -0.365989 0.299062 -0.542936 0.151092 0.0214531
34,Priors,mu_c_priors,0.0498941 -0.59069 -0.437979 -0.111807 0.670072 -0.595995 -0.057164 0.869395 -0.932059 -0.259801 -0.772312 0.650794 0.213417 0.949005 0.0763013 0.376316 -0.562412 0.180732 -0.759725 0.175023 0.245241 -0.381357 0.268353 -0.371849 -0.168239 0.268498 -0.737321 0.379 0.102874 0.410095 0.346907 -0.0750122 0.288519 0.504446 -0.371605 -0.187635 0.171904 -0.522398 0.140145 0.136824
35,Priors,mu_c_priors,-0.0599485 -0.543071 -0.262714 0.0113388 0.704072 -0.458175 -0.00197856 0.782386 -0.90019 -0.21461 -0.682144 0.591491 0.166825 1.00776 -0.00297191 0.316171 -0.517726 0.0504244 -0.735603 0.0997286 0.058163 -0.413901 0.221126 -0.320919 -0.0637392 0.314546 -0.548104 0.331436 0.252762 0.59907 0.26213 -0.07376 0.252147 0.555125 -0.426976 0.0321493 0.0497399 -0.495436 0.126457 0.208518
36,Priors,mu_c_priors,-0.19067 -0.485876 -0.071085 0.151832 0.712477 -0.251205 0.0646635 0.680784 -0.843339 -0.132204 -0.499554 0.482714 0.129702 1.03218 -0.10512 0.242114 -0.428815 -0.075729 -0.669471 0.0197087 -0.15293 -0.418668 0.159895 -0.26849 0.0701536 0.344447 -0.260137 0.25796 0.375467 0.725278 0.120352 -0.0845098 0.207263 0.55947 -0.459991 0.263361 -0.0364588 -0.466866 0.110379 0.244403
37,Priors,mu_c_priors,-0.331858 -0.422318 0.108795 0.297733 0.691727 -0.0034328 0.141193 0.578629 -0.759406 -0.0152721 -0.2332 0.309396 0.0896807 1.01539 -0.218606 0.158586 -0.294947 -0.190782 -0.571482 -0.0477959 -0.34978 -0.376576 0.0817351 -0.217705 0.213056 0.353068 0.0569638 0.153941 0.462929 0.773075 -0.0719793 -0.114834 0.15593 0.518617 -0.473577 0.473461 -0.0753714 -0.435922 0.0877561 0.25556
38,Priors,mu_c_priors,-0.477352 -0.354429 0.250646 0.438587 0.637021 0.233179 0.221361 0.481106 -0.649785 0.126311 0.0759718 0.0766754 0.0412014 0.944282 -0.33265 0.0682209 -0.135561 -0.289071 -0.461078 -0.0894126 -0.503714 -0.273542 -0.0165151 -0.165894 0.341789 0.339134 0.324652 0.0206425 0.506663 0.74142 -0.295498 -0.167245 0.0988651 0.439976 -0.4668 0.638086 -0.0729108 -0.400119 0.0587493 0.254215
39,Priors,mu_c_priors,-0.626946 -0.281195 0.34578 0.565403 0.544445 0.407041 0.295464 0.389077 -0.518247 0.278351 0.365479 -0.168608 -0.0167368 0.803184 -0.435175 -0.0292703 0.023714 -0.367881 -0.359375 -0.0993696 -0.600197 -0.112294 -0.13595 -0.108156 0.440969 0.30617 0.496271 -0.134605 0.493985 0.638829 -0.518024 -0.237012 0.034508 0.334266 -0.4334 0.74605 -0.0414374 -0.355732 0.0287584 0.247811
40,Priors,mu_c_priors,-0.783076 -0.200448 0.39014 0.671481 0.411252 0.501154 0.352512 0.302423 -0.38489 0.429051 0.590753 -0.366421 -0.0780328 0.594443 -0.52741 -0.137879 0.166784 -0.430504 -0.281714 -0.084718 -0.647121 0.0905491 -0.277924 -0.0426156 0.512929 0.263834 0.570132 -0.301865 0.419041 0.479791 -0.694574 -0.312288 -0.0322454 0.217122 -0.364693 0.799408 0.011316 -0.299162 0.00726009 0.241504
41,Priors,mu_c_priors,-0.94038 -0.110001 0.381071 0.751337 0.23589 0.527855 0.378141 0.226041 -0.272998 0.576943 0.718709 -0.491901 -0.13367 0.336449 -0.607515 -0.259095 0.282417 -0.476585 -0.227403 -0.0526842 -0.653963 0.302405 -0.441699 0.0290331 0.563302 0.222301 0.570119 -0.471468 0.277845 0.280246 -0.792149 -0.378331 -0.093546 0.0972031 -0.254131 0.800868 0.0735425 -0.225151 0.000672084 0.23289
42,Priors,mu_c_priors,-1.09337 -0.00846519 0.321133 0.805538 0.0324042 0.512123 0.35759 0.163969 -0.197421 0.718798 0.747892 -0.555935 -0.175528 0.0670829 -0.667454 -0.387838 0.368709 -0.503163 -0.192712 -0.00758277 -0.621645 0.492492 -0.626777 0.100932 0.597369 0.185857 0.526762 -0.635777 0.0801236 0.0713277 -0.812566 -0.423611 -0.139454 -0.0207321 -0.107881 0.758278 0.139726 -0.136669 0.0118085 0.210126
43,Priors,mu_c_priors,-1.23436 0.101212 0.219724 0.830527 -0.187522 0.474064 0.28358 0.117829 -0.157563 0.849466 0.697337 -0.581312 -0.200505 -0.192702 -0.690536 -0.509252 0.429765 -0.50175 -0.169358 0.0492191 -0.536617 0.629648 -0.828808 0.165697 0.619408 0.153736 0.461578 -0.785894 -0.144433 -0.114532 -0.780421 -0.443166 -0.165474 -0.137945 0.0489327 0.679987 0.20292 -0.0390156 0.041253 0.154869
44,Priors,mu_c_priors,-1.03878 0.362381 0.228618 0.657992 -0.571326 0.595793 0.300825 -0.00470411 0.0549093 0.972307 0.441401 -0.490693 -0.231932 -0.340966 -0.539555 -0.261512 0.41613 -0.309506 -0.0518646 -0.073824 -0.37914 0.48201 -0.674218 0.298506 0.543068 0.10991 0.0629002 -0.877885 -0.0842215 -0.609666 -0.303872 -0.448682 -0.509813 -0.253108 0.121459 0.493896 0.261956 0.0844676 -0.123652 0.392667
45,Priors,mu_c_priors,-0.794589 0.523563 0.148246 0.488354 -0.845139 0.623346 0.240009 -0.0752162 0.204957 1.04476 0.29252 -0.435515 -0.209081 -0.42785 -0.394823 -0.112491 0.403459 -0.142348 0.0177341 -0.104993 -0.155695 0.411481 -0.628329 0.418781 0.508191 0.107961 -0.08012 -0.902987 -0.192065 -0.78979 -0.204518 -0.438575 -0.601283 -0.336435 0.254983 0.30039 0.277258 0.178522 -0.157669 0.476243
46,Priors,mu_c_priors,-0.533067 0.587411 0.00856117 0.303517 -1.03606 0.612235 0.0988156 -0.111438 0.294951 1.06132 0.169396 -0.416913 -0.16912 -0.487463 -0.229866 0.00444774 0.376885 0.00378707 0.0571802 -0.0926027 0.077706 0.330318 -0.620145 0.519999 0.476828 0.0993066 -0.149573 -0.878181 -0.387177 -0.817369 -0.175182 -0.426892 -0.581493 -0.406511 0.36656 0.12423 0.292199 0.269562 -0.152722 0.410349
